id|insee|zip|name|slug|latitude|longitude|departments_id|departments_code|departments_name|departments_slug|regions_id|code|regions_name|regions_slug
36|01039|01350|Béon|beon|45.858390206186|5.7458564948454|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
37|01040|01340|Béréziat|bereziat|46.368759272727|5.0407462424242|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
38|01041|01500|Bettant|bettant|45.93878122449|5.365597755102|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
39|01042|01290|Bey|bey|46.217906547619|4.8453710714286|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
40|01043|01700|Beynost|beynost|45.84200389313|4.9964673282443|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
41|01044|01200|Billiat|billiat|46.077800909091|5.772225974026|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
42|01045|01330|Birieux|birieux|45.95549015873|5.039526984127|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
43|01046|01290|Biziat|biziat|46.22892|4.9445275572519|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
44|01047|01150|Blyes|blyes|45.843565263158|5.2492607894737|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
45|01049|01120|La Boisse|la boisse|45.84861648|5.02185976|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
46|01050|01190|Boissey|boissey|46.3812|4.996962|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
47|01050|01380|Boissey|boissey|46.3812|4.996962|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
48|01051|01450|Bolozon|bolozon|46.196338089888|5.4674457303371|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
49|01052|01330|Bouligneux|bouligneux|46.021790328638|4.9993523474178|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
50|01053|01000|Bourg-en-Bresse|bourg en bresse|46.20744972067|5.2461237430168|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
51|01054|01800|Bourg-Saint-Christophe|bourg saint christophe|45.88773872093|5.1411945348837|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
52|01056|01640|Boyeux-Saint-Jérôme|boyeux saint jerome|46.034943149171|5.4565408287293|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
